Meter,kh,Date,Time,Read,Demand
f03b9ffb,7.2,03/01/2021,14:31:08,37641.426,79.415
f03b9ffb,7.2,03/01/2021,16:44:40,37648.598,37.441
f03b9ffb,7.2,03/01/2021,22:14:01,37658.906,47.749
f03b9ffb,7.2,03/02/2021,21:17:07,37705.090,44.071
f03b9ffb,7.2,03/02/2021,21:22:58,37705.234,44.215
f03b9ffb,7.2,06/22/2021,12:11;15,46380.824,153.508
f03b9ffb,7.2,06/22/2021,12:39:18,46383.801,156.485
f03b9ffb,7.2,06/22/2021,13:40:07,46390.645,163.329
f03b9ffb,7.2,06/22/2021,14:11:33,46394.801,167.485
f03b9ffb,7.2,06/22/2021,14:45:25,46399.168,171.852
f03b9ffb,7.2,06/22/2021,16:21:49,46414.340,62.981
f03b9ffb,7.2,06/22/2021,17:09:42,46423.031,71.672
f03b9ffb,7.2,06/22/2021,20:31:41,46448.680,97.321
f03b9ffb,7.2,06/23/2021,00:17:52,46464.125,112.766
f03b9ffb,7.2,06/23/2021,00:27:15,46464.789,113.43